PassengerId,Survived_pred,Survived_prob
892,0,0.1426
893,1,0.6657
894,0,0.1733
895,0,0.1228
896,0,0.4841
897,0,0.1213
898,1,0.7123
899,0,0.1548
900,1,0.7422
901,0,0.1064
902,0,0.1228
903,0,0.2325
904,1,0.9168
905,0,0.1851
906,1,0.9046
907,1,0.9256
908,0,0.1735
909,0,0.1675
910,0,0.47
911,1,0.6183
912,0,0.3849
913,0,0.2543
914,1,0.9144
915,0,0.4137
916,1,0.9447
917,0,0.0835
918,1,0.9507
919,0,0.1675
920,0,0.297
921,0,0.1722
922,0,0.1497
923,0,0.1434
924,1,0.5263
925,0,0.4712
926,0,0.3999
927,0,0.1675
928,0,0.4931
929,0,0.4897
930,0,0.1213
931,0,0.29
932,0,0.1469
933,0,0.2629
934,0,0.1101
935,1,0.8712
936,1,0.947
937,0,0.1213
938,0,0.2566
939,0,0.1477
940,1,0.943
941,1,0.5834
942,0,0.3425
943,0,0.1375
944,1,0.866
945,1,0.7489
946,0,0.208
947,0,0.0996
948,0,0.1277
949,0,0.1213
950,0,0.1387
951,1,0.9514
952,0,0.1213
953,0,0.162
954,0,0.1213
955,1,0.7142
956,0,0.376
957,1,0.8894
958,1,0.5984
959,0,0.1843
960,0,0.3207
961,1,0.6462
962,1,0.5984
963,0,0.1213
964,0,0.4931
965,0,0.2994
966,1,0.9514
967,0,0.4172
968,0,0.1228
969,1,0.9164
970,0,0.1383
971,1,0.5984
972,1,0.8173
973,0,0.239
974,0,0.263
975,0,0.1228
976,0,0.1651
977,0,0.1318
978,1,0.6017
979,0,0.4897
980,1,0.6017
981,1,0.6948
982,0,0.4685
983,0,0.1228
984,1,0.875
985,0,0.1228
986,0,0.3139
987,0,0.1213
988,1,0.8897
989,0,0.1228
990,0,0.4897
991,0,0.1277
992,1,0.9722
993,0,0.1548
994,0,0.1477
995,0,0.1228
996,1,0.6278
997,0,0.1436
998,0,0.146
999,0,0.1477
1000,0,0.1228
1001,0,0.1367
1002,0,0.1304
1003,1,0.6017
1004,1,0.9455
1005,1,0.7142
1006,1,0.9166
1007,0,0.1398
1008,0,0.0751
1009,1,0.8795
1010,0,0.4213
1011,1,0.88
1012,1,0.9011
1013,0,0.1521
1014,1,0.9514
1015,0,0.1228
1016,0,0.1477
1017,1,0.5347
1018,0,0.1213
1019,1,0.6137
1020,0,0.1497
1021,0,0.1213
1022,0,0.1443
1023,0,0.2817
1024,0,0.1397
1025,0,0.0775
1026,0,0.1101
1027,0,0.1213
1028,0,0.1675
1029,0,0.1383
1030,0,0.4897
1031,0,0.0295
1032,0,0.1006
1033,1,0.9355
1034,0,0.3967
1035,0,0.1602
1036,0,0.2894
1037,0,0.3818
1038,0,0.2102
1039,0,0.1213
1040,0,0.2629
1041,0,0.1548
1042,1,0.9507
1043,0,0.1582
1044,0,0.0867
1045,1,0.5218
1046,0,0.039
1047,0,0.1213
1048,1,0.9233
1049,0,0.4897
1050,0,0.2894
1051,0,0.4949
1052,1,0.717
1053,1,0.5783
1054,1,0.8712
1055,0,0.222
1056,0,0.1497
1057,1,0.5151
1058,0,0.2264
1059,0,0.1099
1060,1,0.9381
1061,0,0.4897
1062,0,0.1228
1063,0,0.1675
1064,0,0.1179
1065,0,0.1582
1066,0,0.0405
1067,1,0.8916
1068,1,0.8916
1069,1,0.541
1070,1,0.9116
1071,1,0.909
1072,0,0.1383
1073,0,0.4167
1074,1,0.954
1075,0,0.1477
1076,1,0.9349
1077,0,0.1939
1078,1,0.8881
1079,0,0.1059
1080,0,0.1487
1081,0,0.1497
1082,0,0.1749
1083,0,0.2629
1084,0,0.1909
1085,0,0.1485
1086,1,0.5765
1087,0,0.1277
1088,1,0.9536
1089,0,0.4897
1090,0,0.1442
1091,0,0.4931
1092,1,0.6752
1093,1,0.8452
1094,0,0.3431
1095,1,0.9597
1096,0,0.1442
1097,0,0.245
1098,1,0.5917
1099,0,0.1442
1100,1,0.9436
1101,0,0.1213
1102,0,0.168
1103,0,0.1111
1104,0,0.2249
1105,1,0.8757
1106,1,0.6916
1107,0,0.2331
1108,1,0.6017
1109,0,0.342
1110,1,0.9411
1111,0,0.1228
1112,1,0.9053
1113,0,0.1213
1114,1,0.8766
1115,0,0.1213
1116,1,0.9329
1117,1,0.5558
1118,0,0.1213
1119,1,0.6017
1120,0,0.0978
1121,0,0.1566
1122,0,0.2249
1123,1,0.9104
1124,0,0.0785
1125,0,0.1477
1126,0,0.4167
1127,0,0.1213
1128,0,0.2744
1129,0,0.1675
1130,1,0.8588
1131,1,0.9445
1132,1,0.9329
1133,1,0.8719
1134,0,0.401
1135,0,0.1228
1136,0,0.119
1137,0,0.2259
1138,1,0.8881
1139,0,0.1725
1140,1,0.88
1141,1,0.5515
1142,1,0.9822
1143,0,0.1213
1144,0,0.356
1145,0,0.1213
1146,0,0.1419
1147,0,0.1228
1148,0,0.1477
1149,0,0.1228
1150,1,0.8697
1151,0,0.1213
1152,0,0.1377
1153,0,0.1213
1154,1,0.8894
1155,1,0.8755
1156,0,0.1582
1157,0,0.1228
1158,0,0.1122
1159,0,0.1228
1160,0,0.4931
1161,0,0.1213
1162,0,0.3391
1163,0,0.1477
1164,1,0.9349
1165,1,0.6714
1166,0,0.1582
1167,1,0.8785
1168,0,0.1459
1169,0,0.1674
1170,0,0.1548
1171,0,0.1442
1172,0,0.4897
1173,1,0.8726
1174,1,0.6017
1175,1,0.7289
1176,1,0.6787
1177,0,0.1277
1178,0,0.1228
1179,0,0.3425
1180,0,0.1582
1181,0,0.1228
1182,0,0.2273
1183,0,0.3332
1184,0,0.1582
1185,0,0.3457
1186,0,0.1277
1187,0,0.1228
1188,1,0.9864
1189,0,0.1722
1190,0,0.2102
1191,0,0.1228
1192,0,0.1443
1193,0,0.1296
1194,0,0.1731
1195,0,0.1213
1196,1,0.6017
1197,1,0.8502
1198,0,0.3418
1199,1,0.875
1200,0,0.3564
1201,0,0.3379
1202,0,0.1213
1203,0,0.1675
1204,0,0.1228
1205,1,0.5504
1206,1,0.9421
1207,1,0.7142
1208,0,0.381
1209,0,0.1442
1210,0,0.1228
1211,0,0.1434
1212,0,0.1228
1213,0,0.1675
1214,0,0.1383
1215,0,0.3005
1216,1,0.9322
1217,0,0.1241
1218,1,0.8701
1219,0,0.3391
1220,0,0.1548
1221,0,0.1367
1222,1,0.8891
1223,0,0.317
1224,0,0.1582
1225,1,0.6989
1226,0,0.1228
1227,0,0.2629
1228,0,0.162
1229,0,0.1321
1230,0,0.1633
1231,0,0.1582
1232,0,0.1442
1233,0,0.1443
1234,0,0.0596
1235,1,0.9818
1236,0,0.095
1237,1,0.6167
1238,0,0.1383
1239,1,0.6854
1240,0,0.1367
1241,1,0.9064
1242,1,0.9335
1243,0,0.1442
1244,0,0.2249
1245,0,0.2136
1246,1,0.8888
1247,0,0.263
1248,1,0.915
1249,0,0.1228
1250,0,0.1477
1251,1,0.5496
1252,0,0.0415
1253,1,0.9281
1254,1,0.9064
1255,0,0.1228
1256,1,0.9728
1257,0,0.1498
1258,0,0.1318
1259,0,0.4184
1260,1,0.9335
1261,0,0.1613
1262,0,0.1393
1263,1,0.9617
1264,0,0.1012
1265,0,0.1497
1266,1,0.9178
1267,1,0.9324
1268,0,0.4387
1269,0,0.1442
1270,0,0.2103
1271,0,0.2601
1272,0,0.1477
1273,0,0.1477
1274,0,0.4316
1275,1,0.5117
1276,0,0.1383
1277,1,0.8959
1278,0,0.1213
1279,0,0.1337
1280,0,0.146
1281,0,0.2436
1282,0,0.3625
1283,1,0.8947
1284,0,0.1419
1285,0,0.1223
1286,0,0.0451
1287,1,0.9168
1288,0,0.146
1289,1,0.942
1290,0,0.1213
1291,0,0.1607
1292,1,0.9233
1293,0,0.1674
1294,1,0.9507
1295,0,0.208
1296,0,0.3166
1297,0,0.1707
1298,0,0.1393
1299,0,0.381
1300,1,0.717
1301,1,0.7787
1302,1,0.6017
1303,1,0.9504
1304,0,0.4931
1305,0,0.1228
1306,1,0.9519
1307,0,0.1101
1308,0,0.1228
1309,0,0.1889
